split,case_id,angle_stratum,method,is_final_method,gate_enabled,candidate_W-MPJPE_mm,parent_W-MPJPE_mm,candidate_to_parent_W_ratio,W_harm_percent
development,egobody_recording_20210918_S09_S05_01_medium_kinect_12_kinect_13_b02021,medium,v16_0_m15_geometry,False,False,132.23663605534855,132.23663605534855,1.0,0.0
development,egobody_recording_20210918_S09_S05_01_small_kinect_12_kinect_11_b02021,small,v16_0_m15_geometry,False,False,192.30089377095422,192.30089377095422,1.0,0.0
development,egobody_recording_20210918_S09_S05_02_extreme_kinect_13_kinect_11_b03726,extreme,v16_0_m15_geometry,False,False,191.675928527158,191.675928527158,1.0,0.0
development,egobody_recording_20210918_S09_S05_02_medium_kinect_13_kinect_12_b03726,medium,v16_0_m15_geometry,False,False,190.26736936850344,190.26736936850344,1.0,0.0
development,egobody_recording_20210918_S09_S05_02_small_kinect_11_kinect_12_b03726,small,v16_0_m15_geometry,False,False,159.82410305144168,159.82410305144168,1.0,0.0
development,egobody_recording_20210918_S09_S05_03_extreme_kinect_13_kinect_11_b02121,extreme,v16_0_m15_geometry,False,False,277.8997975421315,277.8997975421315,1.0,0.0
development,egobody_recording_20210918_S09_S05_03_medium_kinect_13_kinect_12_b02121,medium,v16_0_m15_geometry,False,False,214.82044852745037,214.82044852745037,1.0,0.0
development,egobody_recording_20210918_S09_S05_03_small_kinect_11_kinect_12_b02121,small,v16_0_m15_geometry,False,False,227.00676458087497,227.00676458087497,1.0,0.0
development,egobody_recording_20210921_S10_S11_01_extreme_kinect_13_kinect_11_b02266,extreme,v16_0_m15_geometry,False,False,473.5434660281304,473.5434660281304,1.0,0.0
development,egobody_recording_20210921_S10_S11_01_medium_kinect_12_kinect_11_b02266,medium,v16_0_m15_geometry,False,False,238.17587037077573,238.17587037077573,1.0,0.0
development,egobody_recording_20210921_S10_S11_01_small_kinect_13_kinect_12_b02266,small,v16_0_m15_geometry,False,False,392.27955963714464,392.27955963714464,1.0,0.0
development,egobody_recording_20210921_S10_S11_02_extreme_kinect_13_kinect_11_b02411,extreme,v16_0_m15_geometry,False,False,333.669063530341,333.669063530341,1.0,0.0
development,egobody_recording_20210921_S10_S11_02_medium_kinect_12_kinect_11_b02411,medium,v16_0_m15_geometry,False,False,227.14463497633443,227.14463497633443,1.0,0.0
development,egobody_recording_20210921_S10_S11_02_small_kinect_13_kinect_12_b02411,small,v16_0_m15_geometry,False,False,212.41913860411537,212.41913860411537,1.0,0.0
development,egobody_recording_20210923_S05_S13_01_extreme_kinect_13_kinect_11_b02761,extreme,v16_0_m15_geometry,False,False,262.62725799060166,262.62725799060166,1.0,0.0
development,egobody_recording_20210923_S05_S13_01_medium_kinect_12_kinect_11_b02761,medium,v16_0_m15_geometry,False,False,209.02992929124773,209.02992929124773,1.0,0.0
development,egobody_recording_20210923_S05_S13_01_small_kinect_12_kinect_13_b02761,small,v16_0_m15_geometry,False,False,189.7140427080663,189.7140427080663,1.0,0.0
development,egobody_recording_20210923_S05_S13_02_extreme_kinect_13_kinect_11_b04071,extreme,v16_0_m15_geometry,False,False,277.1556044613289,277.1556044613289,1.0,0.0
development,egobody_recording_20210923_S05_S13_02_medium_kinect_12_kinect_11_b04071,medium,v16_0_m15_geometry,False,False,223.38822395761127,223.38822395761127,1.0,0.0
development,egobody_recording_20210923_S05_S13_02_small_kinect_13_kinect_12_b04071,small,v16_0_m15_geometry,False,False,213.0170394105706,213.0170394105706,1.0,0.0
development,egobody_recording_20210923_S13_S05_01_extreme_kinect_11_kinect_13_b02401,extreme,v16_0_m15_geometry,False,False,358.2555078618116,358.2555078618116,1.0,0.0
development,egobody_recording_20210923_S13_S05_01_medium_kinect_11_kinect_12_b02401,medium,v16_0_m15_geometry,False,False,299.17691421162584,299.17691421162584,1.0,0.0
development,egobody_recording_20210923_S13_S05_01_small_kinect_13_kinect_12_b02401,small,v16_0_m15_geometry,False,False,164.5723817154858,164.5723817154858,1.0,0.0
development,egobody_recording_20210923_S14_S03_01_extreme_kinect_13_kinect_11_b02046,extreme,v16_0_m15_geometry,False,False,381.4927038068203,381.4927038068203,1.0,0.0
development,egobody_recording_20210923_S14_S03_01_medium_kinect_12_kinect_11_b02046,medium,v16_0_m15_geometry,False,False,402.95262537974224,402.95262537974224,1.0,0.0
development,egobody_recording_20210923_S14_S03_01_small_kinect_12_kinect_13_b02046,small,v16_0_m15_geometry,False,False,351.1331642394547,351.1331642394547,1.0,0.0
development,egobody_recording_20210923_S14_S03_02_extreme_kinect_11_kinect_13_b01601,extreme,v16_0_m15_geometry,False,False,400.1591618910636,400.1591618910636,1.0,0.0
development,egobody_recording_20210923_S14_S03_02_medium_kinect_12_kinect_11_b01601,medium,v16_0_m15_geometry,False,False,255.46006411667128,255.46006411667128,1.0,0.0
development,egobody_recording_20210923_S14_S03_02_small_kinect_13_kinect_12_b01601,small,v16_0_m15_geometry,False,False,241.36842249028967,241.36842249028967,1.0,0.0
development,egobody_recording_20210923_S14_S03_03_extreme_kinect_13_kinect_11_b02456,extreme,v16_0_m15_geometry,False,False,343.1169555589335,343.1169555589335,1.0,0.0
development,egobody_recording_20210923_S14_S03_03_medium_kinect_12_kinect_11_b02456,medium,v16_0_m15_geometry,False,False,280.5989157968025,280.5989157968025,1.0,0.0
development,egobody_recording_20210923_S14_S03_03_small_kinect_13_kinect_12_b02456,small,v16_0_m15_geometry,False,False,238.62623383996217,238.62623383996217,1.0,0.0
development,egobody_recording_20210929_S15_S11_01_extreme_kinect_11_kinect_13_b02726,extreme,v16_0_m15_geometry,False,False,534.4000899888997,534.4000899888997,1.0,0.0
development,egobody_recording_20210929_S15_S11_01_medium_kinect_12_kinect_11_b02726,medium,v16_0_m15_geometry,False,False,310.73763547329617,310.73763547329617,1.0,0.0
